state,x,y
Andhra Pradesh,-62,-174
Arunachal Pradesh,217,98
Assam,162,60
Bihar,53,53
Chhattisgarh,-6,-25
Goa,-155,-154
Gujarat,-194,-8
Haryana,-114,117
Himachal Pradesh,-99,177
Jharkhand,52,5
Karnataka,-125,-174
Kerala,-108,-249
Madhya Pradesh,-78,-3
Maharashtra,-127,-79
Manipur,210,27
Meghalaya,159,42
Mizoram,190,-2
Nagaland,224,56
Odisha,40,-53
Punjab,-128,154
Rajasthan,-163,67
Sikkim,112,84
Tamil Nadu,-75,-239
Telangana,-67,-110
Tripura,168,7
Uttar Pradesh,-29,74
Uttarakhand,-53,139
West Bengal,100,-4
Jammu & Kashmir,-124,232
